piece,material,grounded,massKg,support,released,removed,cx,cy,cz
128,ClayBrick,0,2.7216,Supported,0,0,551.250,0.000,37.500
129,ClayBrick,0,2.7216,Supported,0,0,573.750,0.000,37.500
130,ClayBrick,0,2.7216,Supported,0,0,596.250,0.000,37.500
131,ClayBrick,0,2.7216,Supported,0,0,618.750,0.000,37.500
132,ClayBrick,0,1.2975,Supported,0,0,641.250,0.000,37.500
133,ClayBrick,0,2.7216,Supported,0,0,0.000,0.000,45.000
134,ClayBrick,0,2.7216,Supported,0,0,22.500,0.000,45.000
135,ClayBrick,0,2.7216,Supported,0,0,45.000,0.000,45.000
136,ClayBrick,0,2.7216,Supported,0,0,67.500,0.000,45.000
137,ClayBrick,0,2.7216,Supported,0,0,90.000,0.000,45.000
138,ClayBrick,0,2.7216,Supported,0,0,112.500,0.000,45.000
139,ClayBrick,0,2.7216,Supported,0,0,135.000,0.000,45.000
140,ClayBrick,0,2.7216,Supported,0,0,157.500,0.000,45.000
141,ClayBrick,0,2.7216,Supported,0,0,180.000,0.000,45.000
142,ClayBrick,0,2.7216,Supported,0,0,202.500,0.000,45.000
143,ClayBrick,0,2.7216,Supported,0,0,225.000,0.000,45.000
144,ClayBrick,0,2.7216,Supported,0,0,247.500,0.000,45.000
145,ClayBrick,0,2.7216,Supported,0,0,270.000,0.000,45.000
146,ClayBrick,0,2.7216,Supported,0,0,292.500,0.000,45.000
147,ClayBrick,0,2.7216,Supported,0,0,315.000,0.000,45.000
148,ClayBrick,0,2.7216,Supported,0,0,337.500,0.000,45.000
149,ClayBrick,0,2.7216,Supported,0,0,360.000,0.000,45.000
150,ClayBrick,0,2.7216,Supported,0,0,382.500,0.000,45.000
151,ClayBrick,0,2.7216,Supported,0,0,405.000,0.000,45.000
152,ClayBrick,0,2.7216,Supported,0,0,427.500,0.000,45.000
153,ClayBrick,0,2.7216,Supported,0,0,450.000,0.000,45.000
154,ClayBrick,0,2.7216,Supported,0,0,472.500,0.000,45.000
155,ClayBrick,0,2.7216,Supported,0,0,495.000,0.000,45.000
156,ClayBrick,0,2.7216,Supported,0,0,517.500,0.000,45.000
157,ClayBrick,0,2.7216,Supported,0,0,540.000,0.000,45.000
158,ClayBrick,0,2.7216,Supported,0,0,562.500,0.000,45.000
159,ClayBrick,0,2.7216,Supported,0,0,585.000,0.000,45.000
160,ClayBrick,0,2.7216,Supported,0,0,607.500,0.000,45.000
161,ClayBrick,0,2.7216,Supported,0,0,630.000,0.000,45.000
162,ClayBrick,0,1.2975,Supported,0,0,0.000,0.000,52.500
163,ClayBrick,0,2.7216,Supported,0,0,11.250,0.000,52.500
164,ClayBrick,0,2.7216,Supported,0,0,33.750,0.000,52.500
165,ClayBrick,0,1.2975,Supported,0,0,56.250,0.000,52.500
166,ClayBrick,0,1.2975,Supported,0,0,135.000,0.000,52.500
167,ClayBrick,0,2.7216,Supported,0,0,146.250,0.000,52.500
168,ClayBrick,0,1.2975,Supported,0,0,168.750,0.000,52.500
169,ClayBrick,0,1.2975,Supported,0,0,247.500,0.000,52.500
170,ClayBrick,0,2.7216,Supported,0,0,258.750,0.000,52.500
171,ClayBrick,0,1.2975,Supported,0,0,281.250,0.000,52.500
172,ClayBrick,0,1.2975,Supported,0,0,360.000,0.000,52.500
173,ClayBrick,0,2.7216,Supported,0,0,371.250,0.000,52.500
174,ClayBrick,0,1.2975,Supported,0,0,393.750,0.000,52.500
175,ClayBrick,0,1.2975,Supported,0,0,472.500,0.000,52.500
176,ClayBrick,0,2.7216,Supported,0,0,483.750,0.000,52.500
177,ClayBrick,0,1.2975,Supported,0,0,506.250,0.000,52.500
178,ClayBrick,0,1.2975,Supported,0,0,585.000,0.000,52.500
179,ClayBrick,0,2.7216,Supported,0,0,596.250,0.000,52.500
180,ClayBrick,0,2.7216,Supported,0,0,618.750,0.000,52.500
181,ClayBrick,0,1.2975,Supported,0,0,641.250,0.000,52.500
182,StructuralConcrete,0,10.6333,Supported,0,0,67.500,0.000,52.500
183,StructuralConcrete,0,10.6333,Supported,0,0,180.000,0.000,52.500
184,StructuralConcrete,0,10.6333,Supported,0,0,292.500,0.000,52.500
185,StructuralConcrete,0,10.6333,Supported,0,0,405.000,0.000,52.500
186,StructuralConcrete,0,10.6333,Supported,0,0,517.500,0.000,52.500
187,ClayBrick,0,2.7216,Supported,0,0,0.000,0.000,60.000
188,ClayBrick,0,2.7216,Supported,0,0,22.500,0.000,60.000
189,ClayBrick,0,2.7216,Supported,0,0,45.000,0.000,60.000
190,ClayBrick,0,1.2975,Supported,0,0,67.500,0.000,60.000
191,ClayBrick,0,1.2975,Supported,0,0,123.750,0.000,60.000
192,ClayBrick,0,2.7216,Supported,0,0,135.000,0.000,60.000
193,ClayBrick,0,2.7216,Supported,0,0,157.500,0.000,60.000
194,ClayBrick,0,1.2975,Supported,0,0,180.000,0.000,60.000
195,ClayBrick,0,1.2975,Supported,0,0,236.250,0.000,60.000
196,ClayBrick,0,2.7216,Supported,0,0,247.500,0.000,60.000
197,ClayBrick,0,2.7216,Supported,0,0,270.000,0.000,60.000
198,ClayBrick,0,1.2975,Supported,0,0,292.500,0.000,60.000
199,ClayBrick,0,1.2975,Supported,0,0,348.750,0.000,60.000
200,ClayBrick,0,2.7216,Supported,0,0,360.000,0.000,60.000
201,ClayBrick,0,2.7216,Supported,0,0,382.500,0.000,60.000
202,ClayBrick,0,1.2975,Supported,0,0,405.000,0.000,60.000
203,ClayBrick,0,1.2975,Supported,0,0,461.250,0.000,60.000
204,ClayBrick,0,2.7216,Supported,0,0,472.500,0.000,60.000
205,ClayBrick,0,2.7216,Supported,0,0,495.000,0.000,60.000
206,ClayBrick,0,1.2975,Supported,0,0,517.500,0.000,60.000
207,ClayBrick,0,1.2975,Supported,0,0,573.750,0.000,60.000
208,ClayBrick,0,2.7216,Supported,0,0,585.000,0.000,60.000
209,ClayBrick,0,2.7216,Supported,0,0,607.500,0.000,60.000
210,ClayBrick,0,2.7216,Supported,0,0,630.000,0.000,60.000
211,ClayBrick,0,1.2975,Supported,0,0,0.000,0.000,67.500
212,ClayBrick,0,2.7216,Supported,0,0,11.250,0.000,67.500
213,ClayBrick,0,2.7216,Supported,0,0,33.750,0.000,67.500
214,ClayBrick,0,2.7216,Supported,0,0,56.250,0.000,67.500
215,ClayBrick,0,2.7216,Supported,0,0,123.750,0.000,67.500
216,ClayBrick,0,2.7216,Supported,0,0,146.250,0.000,67.500
217,ClayBrick,0,2.7216,Supported,0,0,168.750,0.000,67.500
218,ClayBrick,0,2.7216,Supported,0,0,236.250,0.000,67.500
219,ClayBrick,0,2.7216,Supported,0,0,258.750,0.000,67.500
220,ClayBrick,0,2.7216,Supported,0,0,281.250,0.000,67.500
221,ClayBrick,0,2.7216,Supported,0,0,348.750,0.000,67.500
222,ClayBrick,0,2.7216,Supported,0,0,371.250,0.000,67.500
223,ClayBrick,0,2.7216,Supported,0,0,393.750,0.000,67.500
224,ClayBrick,0,2.7216,Supported,0,0,461.250,0.000,67.500
225,ClayBrick,0,2.7216,Supported,0,0,483.750,0.000,67.500
226,ClayBrick,0,2.7216,Supported,0,0,506.250,0.000,67.500
227,ClayBrick,0,2.7216,Supported,0,0,573.750,0.000,67.500
228,ClayBrick,0,2.7216,Supported,0,0,596.250,0.000,67.500
229,ClayBrick,0,2.7216,Supported,0,0,618.750,0.000,67.500
230,ClayBrick,0,1.2975,Supported,0,0,641.250,0.000,67.500
231,ClayBrick,0,2.7216,Supported,0,0,0.000,0.000,75.000
232,ClayBrick,0,2.7216,Supported,0,0,22.500,0.000,75.000
233,ClayBrick,0,2.7216,Supported,0,0,45.000,0.000,75.000
