piece,released,removed,laidX,laidY,laidZ,finalX,finalY,finalZ,displacementCm,dropCm
4349,0,0,33.750,-11.250,292.500,33.750,-11.250,292.500,0.000,0.000
4350,1,0,33.750,337.500,292.500,-26.072,480.204,7.602,324.207,284.898
4351,0,0,33.750,-11.250,300.000,33.750,-11.250,300.000,0.000,0.000
4352,1,0,33.750,337.500,300.000,192.263,988.006,-0.493,733.881,300.493
4353,0,0,33.750,-11.250,307.500,33.750,-11.250,307.500,0.000,0.000
4354,1,0,33.750,337.500,307.500,-77.068,668.281,-0.492,465.355,307.992
4355,0,0,33.750,-11.250,315.000,33.750,-11.250,315.000,0.000,0.000
4356,1,0,33.750,337.500,315.000,69.609,384.454,11.523,309.174,303.477
4357,0,0,33.750,-11.250,322.500,33.750,-11.250,322.500,0.000,0.000
4358,1,0,33.750,337.500,322.500,59.866,419.177,-0.520,334.208,323.020
4359,0,0,33.750,-11.250,330.000,33.750,-11.250,330.000,0.000,0.000
4360,1,0,33.750,337.500,330.000,52.386,304.749,9.763,322.447,320.237
4361,0,0,33.750,-11.250,337.500,33.750,-11.250,337.500,0.000,0.000
4362,1,0,33.750,337.500,337.500,70.126,255.179,-0.506,349.783,338.006
4363,0,0,33.750,-11.250,345.000,33.750,-11.250,345.000,0.000,0.000
4364,1,0,33.750,337.500,345.000,79.573,201.510,-0.522,374.137,345.522
4365,0,0,33.750,-11.250,352.500,33.750,-11.250,352.500,0.000,0.000
4366,1,0,33.750,337.500,352.500,41.653,140.263,-0.491,404.435,352.991
4367,0,0,33.750,-11.250,360.000,33.750,-11.250,360.000,0.000,0.000
4368,1,0,33.750,337.500,360.000,28.046,280.047,6.018,358.660,353.982
4369,0,0,33.750,-11.250,367.500,33.750,-11.250,367.500,0.000,0.000
4370,1,0,33.750,337.500,367.500,20.514,359.324,-0.503,368.887,368.003
4371,0,0,33.750,-11.250,375.000,33.750,-11.250,375.000,0.000,0.000
4372,1,0,33.750,337.500,375.000,-9.425,376.799,-0.494,380.005,375.494
4373,0,0,33.750,-11.250,382.500,33.750,-11.250,382.500,0.000,0.000
4374,1,0,33.750,337.500,382.500,14.313,494.590,-0.473,414.396,382.973
4375,0,0,33.750,-11.250,390.000,33.750,-11.250,390.000,0.000,0.000
4376,1,0,33.750,337.500,390.000,-84.780,601.717,6.008,480.947,383.992
4377,0,0,33.750,-11.250,397.500,33.750,-11.250,397.500,0.000,0.000
4378,1,0,33.750,337.500,397.500,-116.924,535.708,-0.494,469.455,397.994
4379,0,0,33.750,-11.250,405.000,33.750,-11.250,405.000,0.000,0.000
4380,1,0,33.750,337.500,405.000,-67.544,613.591,-0.498,500.914,405.498
4381,0,0,33.750,-11.250,412.500,33.750,-11.250,412.500,0.000,0.000
4382,1,0,33.750,337.500,412.500,2.206,580.183,6.008,474.474,406.492
4383,0,0,33.750,-11.250,420.000,33.750,-11.250,420.000,0.000,0.000
4384,1,0,33.750,337.500,420.000,32.206,604.521,6.009,492.637,413.991
4385,0,0,33.750,-11.250,427.500,33.750,-11.250,427.500,0.000,0.000
4386,1,0,33.750,337.500,427.500,50.530,450.692,-0.479,443.012,427.979
4387,0,0,33.750,-11.250,435.000,33.750,-11.250,435.000,0.000,0.000
4388,1,0,33.750,337.500,435.000,63.849,446.003,-0.488,449.810,435.488
4389,0,0,33.750,-11.250,442.500,33.750,-11.250,442.500,0.000,0.000
4390,1,0,33.750,337.500,442.500,70.756,394.689,-0.466,448.172,442.966
4391,0,0,33.750,-11.250,450.000,33.750,-11.250,450.000,0.000,0.000
4392,1,0,33.750,337.500,450.000,95.163,392.488,9.763,447.888,440.237
4393,0,0,33.750,-11.250,457.500,33.750,-11.250,457.500,0.000,0.000
4394,1,0,33.750,337.500,457.500,116.793,324.750,-0.488,465.631,457.988
4395,0,0,146.250,-11.250,0.000,146.250,-11.250,0.000,0.000,0.000
4396,0,0,146.250,337.500,0.000,146.250,337.500,0.000,0.000,0.000
4397,0,0,146.250,-11.250,7.500,146.250,-11.250,7.500,0.000,0.000
4398,0,0,146.250,337.500,7.500,146.250,337.500,7.500,0.000,0.000
4399,0,0,146.250,-11.250,15.000,146.250,-11.250,15.000,0.000,0.000
4400,0,0,146.250,337.500,15.000,146.250,337.500,15.000,0.000,0.000
4401,0,0,146.250,-11.250,22.500,146.250,-11.250,22.500,0.000,0.000
4402,0,0,146.250,337.500,22.500,146.250,337.500,22.500,0.000,0.000
4403,0,0,146.250,-11.250,30.000,146.250,-11.250,30.000,0.000,0.000
