frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
220,3.6500,718,1,465.486,353.838,733.881,0,13.45
221,3.6667,718,2,465.486,353.838,733.881,0,13.54
222,3.6833,718,2,465.486,353.838,733.881,0,13.50
223,3.7000,718,1,465.486,353.838,733.881,0,15.31
224,3.7167,718,1,465.486,353.838,733.881,0,12.63
225,3.7333,718,1,465.486,353.838,733.881,0,14.21
226,3.7500,718,2,465.486,353.838,733.881,0,13.47
227,3.7667,718,2,465.486,353.838,733.881,0,12.67
228,3.7833,718,0,465.486,353.838,733.881,0,12.68
229,3.8000,718,0,465.486,353.839,733.881,0,13.79
230,3.8167,718,2,465.486,353.838,733.881,0,12.52
231,3.8333,718,1,465.486,353.839,733.881,0,13.30
232,3.8500,718,1,465.486,353.839,733.881,0,8.15
233,3.8667,718,0,465.486,353.838,733.881,0,14.28
234,3.8833,718,1,465.486,353.838,733.881,0,12.96
235,3.9000,718,2,465.486,353.838,733.881,0,13.67
236,3.9167,718,2,465.486,353.838,733.881,0,13.82
237,3.9333,718,2,465.486,353.838,733.881,0,13.30
238,3.9500,718,1,465.486,353.838,733.881,0,13.45
239,3.9667,718,1,465.486,353.838,733.881,0,13.11
240,3.9833,718,4,465.486,353.838,733.881,0,12.84
241,4.0000,718,2,465.486,353.838,733.881,0,13.28
242,4.0167,718,2,465.486,353.838,733.881,0,13.16
243,4.0333,718,2,465.486,353.838,733.881,0,11.95
244,4.0500,718,2,465.486,353.838,733.881,0,12.90
245,4.0667,718,1,465.486,353.838,733.881,0,13.58
246,4.0833,718,1,465.486,353.838,733.881,0,13.01
247,4.1000,718,2,465.486,353.838,733.881,0,12.91
248,4.1167,718,0,465.486,353.838,733.881,0,12.75
249,4.1333,718,2,465.486,353.838,733.881,0,13.61
250,4.1500,718,1,465.486,353.838,733.881,0,12.50
251,4.1667,718,1,465.486,353.838,733.881,0,13.06
252,4.1833,718,0,465.486,353.838,733.881,0,11.92
253,4.2000,718,3,465.486,353.838,733.881,0,13.42
