frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
214,3.5500,1436,15,465.489,356.103,733.881,0,25.68
215,3.5667,1436,18,465.489,356.103,733.881,0,26.10
216,3.5833,1436,15,465.489,356.103,733.881,0,25.46
217,3.6000,1436,21,465.492,356.103,733.881,0,28.09
218,3.6167,1436,22,465.491,356.103,733.881,0,26.51
219,3.6333,1436,14,465.490,356.103,733.881,0,26.30
220,3.6500,1436,18,465.490,356.104,733.881,0,26.39
221,3.6667,1436,16,465.487,356.104,733.881,0,27.44
222,3.6833,1436,16,465.488,356.103,733.881,0,26.02
223,3.7000,1436,17,465.492,356.104,733.881,0,29.86
224,3.7167,1436,15,465.487,356.103,733.881,0,26.38
225,3.7333,1436,18,465.488,356.103,733.881,0,25.89
226,3.7500,1436,11,465.494,356.103,733.881,0,25.77
227,3.7667,1436,13,465.491,356.103,733.881,0,26.36
228,3.7833,1436,16,465.488,356.103,733.881,0,24.93
229,3.8000,1436,13,465.492,356.103,733.881,0,28.12
230,3.8167,1436,11,465.487,356.103,733.881,0,24.83
231,3.8333,1436,14,465.489,356.103,733.881,0,25.59
232,3.8500,1436,14,465.492,356.104,733.881,0,26.00
233,3.8667,1436,14,465.486,356.103,733.881,0,25.97
234,3.8833,1436,11,465.491,356.104,733.881,0,26.56
235,3.9000,1436,14,465.492,356.104,733.881,0,31.02
236,3.9167,1436,13,465.486,356.104,733.881,0,26.69
237,3.9333,1436,13,465.489,356.104,733.881,0,26.41
238,3.9500,1436,11,465.489,356.104,733.881,0,26.47
239,3.9667,1436,10,465.488,356.104,733.881,0,25.80
240,3.9833,1436,9,465.487,356.104,733.881,0,27.26
241,4.0000,1436,10,465.488,356.104,733.881,0,28.63
242,4.0167,1436,13,465.488,356.104,733.881,0,25.80
243,4.0333,1436,9,465.487,356.104,733.881,0,26.64
244,4.0500,1436,12,465.488,356.104,733.881,0,25.36
245,4.0667,1436,11,465.492,356.104,733.881,0,25.83
246,4.0833,1436,15,465.487,356.104,733.881,0,25.28
247,4.1000,1436,11,465.490,356.104,733.881,0,30.03
248,4.1167,1436,11,465.488,356.104,733.881,0,25.41
249,4.1333,1436,12,465.489,356.104,733.881,0,25.46
250,4.1500,1436,14,465.493,356.104,733.881,0,25.63
251,4.1667,1436,12,465.487,356.104,733.881,0,25.94
252,4.1833,1436,11,465.489,356.104,733.881,0,25.08
253,4.2000,1436,12,465.489,356.104,733.881,0,28.14
254,4.2167,1436,11,465.492,356.104,733.881,0,25.86
255,4.2333,1436,11,465.488,356.104,733.881,0,26.84
256,4.2500,1436,11,465.488,356.104,733.881,0,26.77
257,4.2667,1436,9,465.489,356.104,733.881,0,26.34
258,4.2833,1436,7,465.491,356.104,733.881,0,24.69
259,4.3000,1436,11,465.487,356.104,733.881,0,28.35
260,4.3167,1436,6,465.487,356.104,733.881,0,27.27
261,4.3333,1436,7,465.487,356.104,733.881,0,26.66
262,4.3500,1436,11,465.487,356.104,733.881,0,27.04
263,4.3667,1436,7,465.488,356.104,733.881,0,26.43
264,4.3833,1436,10,465.489,356.105,733.881,0,26.60
265,4.4000,1436,10,465.488,356.104,733.881,0,30.50
266,4.4167,1436,12,465.489,356.104,733.881,0,28.67
267,4.4333,1436,8,465.488,356.105,733.881,0,28.66
268,4.4500,1436,10,465.488,356.105,733.881,0,34.50
269,4.4667,1436,9,465.488,356.105,733.881,0,30.86
270,4.4833,1436,14,465.487,356.104,733.881,0,33.86
271,4.5000,1436,14,465.488,356.105,733.881,0,40.39
272,4.5167,1436,8,465.487,356.105,733.881,0,30.73
273,4.5333,1436,11,465.488,356.105,733.881,0,30.76
274,4.5500,1436,12,465.490,356.105,733.881,0,29.55
275,4.5667,1436,11,465.489,356.105,733.881,0,26.66
276,4.5833,1436,11,465.487,356.105,733.881,0,29.69
277,4.6000,1436,8,465.488,356.105,733.881,0,29.10
278,4.6167,1436,11,465.490,356.105,733.881,0,26.82
279,4.6333,1436,10,465.489,356.105,733.881,0,27.40
280,4.6500,1436,8,465.491,356.105,733.881,0,25.86
281,4.6667,1436,11,465.487,356.105,733.881,0,25.43
282,4.6833,1436,10,465.488,356.105,733.881,0,26.31
283,4.7000,1436,8,465.490,356.105,733.881,0,28.66
